,repository_name,language
0,-azure-data-services-go-fast-codebase-es-dmz,
1,.github,
2,.Net-Interactive-Kernels-ADS,Jupyter Notebook
3,.NET-Modernization-In-a-Day,JavaScript
4,0xDeCA10B,Python
5,2019-ignite-circuit-playground,Python
6,2023iotlevelup,Python
7,25-days-of-serverless,
8,2LCS,C#
9,3-in-1-dock,
10,30daysof,JavaScript
11,50BusinessAssignmentsLog,
12,A-CLIP,Python
13,A-TALE-OF-THREE-CITIES,R
14,aaai21-copy-that,Python
15,aad-app-credential-tools,PowerShell
16,aad-hybrid-lab,PowerShell
17,aadb2c-starter-kit,JavaScript
18,AADConnectConfigDocumenter,C#
19,aad_b2c_webview,Dart
20,AaronLocker,PowerShell
21,ABAP-SDK-for-Azure,ABAP
22,abap2git,ABAP
23,ability-attributes,TypeScript
24,abstrakt,Go
25,aca-dev-day,JavaScript
26,academic-knowledge-exploration-services-utilities,PowerShell
27,AcademicContent,Jupyter Notebook
28,acc,Bicep
29,acc-vm-engine,Go
30,accbpg,Jupyter Notebook
31,AccCheckerExtensionForVS,C#
32,acceleratoRs,HTML
33,Accera,C++
34,access-reviews-samples,PowerShell
35,accessibility-announcer,TypeScript
36,accessibility-insights-action,TypeScript
37,accessibility-insights-for-android-service,Java
38,accessibility-insights-service,TypeScript
39,accessibility-insights-web,TypeScript
40,accessibility-insights-windows,C#
41,Accessible-Connect,TypeScript
42,AccessorFramework,C++
43,AccountGuard,PowerShell
44,ace,Objective-C++
45,ace-ux-components,TypeScript
46,acoustic-bird-detection,Jupyter Notebook
47,Acoustic-Perception-for-Virtual-AI-Agents,C++
48,AcousticScatteringData,MATLAB
49,acs-kitchen-sink,TypeScript
50,act,Python
51,action-armttk,Shell
52,action-publish-symbols,TypeScript
53,action-python,
54,activate-sensorcore,C#
55,ActivateAzurewithDevOps,HTML
56,ActiveDirectoryDSC.Reverse,PowerShell
57,activities,C#
58,activity-log-export-automation,PowerShell
59,ada,C++
60,AdaM,
61,AdaMix,Python
62,Adaptable,Java
63,adaptive-testing,Jupyter Notebook
64,AdaptiveCards,C#
65,AdaptiveCards-.NET,C#
66,AdaptiveCards-Mobile,C++
67,adaptivecards-templates,JavaScript
68,adaptive_cloud_community,
69,adb2spark,
70,ADBench,C++
71,adcs-proxy-exit-module,C++
72,AddingSpeechToBots,C#
73,AddOutlookJapanHoliday,VBScript
74,adfs-sample-block-user-on-adfs-marked-risky-by-AzureAD-IdentityProtection,C#
75,adfs-sample-msal-dotnet-native-to-webapi,C#
76,adfs-sample-msal-dotnet-webapi-to-webapi-onbehalfof,C#
77,adfs-sample-RiskAssessmentModel-RiskyIPBlock,C#
78,adfsAuthAdapters,C#
79,adfsLogTools,
80,adfsManagementTools,
81,adfsOpenSource,
82,adfsToolbox,PowerShell
83,adfsUITesting,C#
84,adfsWebCustomization,JavaScript
85,ADLaM-Display,Makefile
86,adme-samples,HTML
87,admin-torch,Python
88,ado-codespaces-auth,TypeScript
89,ado-ml-batch-train,Jupyter Notebook
90,ado-npm-auth,TypeScript
91,ads-extension-telemetry,TypeScript
